stadium,gameday,temp_f,wind_mph,precip_in,snow_in,source
New Era Field,2023-09-17,63.2,14.5,0.0,0.0,open-meteo-archive
Nissan Stadium,2023-09-17,67.4,18.1,0.047,0.0,open-meteo-archive
Paycor Stadium,2023-09-17,66.0,13.0,0.102,0.0,open-meteo-archive
Raymond James Stadium,2023-09-17,83.7,24.2,0.059,0.0,open-meteo-archive
TIAA Bank Stadium,2023-09-17,78.7,20.4,0.634,0.0,open-meteo-archive
Acrisure Stadium,2023-09-18,61.4,21.0,0.02,0.0,open-meteo-archive
Bank of America Stadium,2023-09-18,68.7,17.2,0.035,0.0,open-meteo-archive
Levi's Stadium,2023-09-21,64.8,23.9,0.0,0.0,open-meteo-archive
FedExField,2023-09-24,64.5,38.9,0.539,0.0,open-meteo-archive
FirstEnergy Stadium,2023-09-24,60.9,20.4,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2023-09-24,71.1,15.4,0.004,0.0,open-meteo-archive
Hard Rock Stadium,2023-09-24,78.4,13.9,0.244,0.0,open-meteo-archive
Lambeau Field,2023-09-24,64.4,22.6,0.0,0.0,open-meteo-archive
Lumen Field,2023-09-24,57.2,19.0,0.031,0.0,open-meteo-archive
M&T Bank Stadium,2023-09-24,64.2,41.4,1.469,0.0,open-meteo-archive
MetLife Stadium,2023-09-24,62.1,38.9,0.516,0.0,open-meteo-archive
State Farm Stadium,2023-09-24,83.1,12.8,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2023-09-24,76.9,20.8,0.0,0.0,open-meteo-archive
Paycor Stadium,2023-09-25,67.2,15.4,0.0,0.0,open-meteo-archive
Raymond James Stadium,2023-09-25,79.7,21.5,0.185,0.0,open-meteo-archive
Lambeau Field,2023-09-28,62.4,19.2,0.0,0.0,open-meteo-archive
Bank of America Stadium,2023-10-01,69.1,18.3,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2023-10-01,63.1,13.6,0.0,0.0,open-meteo-archive
Levi's Stadium,2023-10-01,61.5,18.6,0.016,0.0,open-meteo-archive
Lincoln Financial Field,2023-10-01,67.1,18.1,0.0,0.0,open-meteo-archive
Lucas Oil Stadium,2023-10-01,68.6,13.6,0.0,0.0,open-meteo-archive
MetLife Stadium,2023-10-01,65.3,21.7,0.0,0.0,open-meteo-archive
NRG Stadium,2023-10-01,83.6,28.0,0.0,0.0,open-meteo-archive
New Era Field,2023-10-01,63.8,14.3,0.0,0.0,open-meteo-archive
Nissan Stadium,2023-10-01,72.7,10.7,0.0,0.0,open-meteo-archive
Soldier Field,2023-10-01,68.7,13.9,0.0,0.0,open-meteo-archive
Wembley Stadium,2023-10-01,64.3,25.5,0.0,0.0,open-meteo-archive
MetLife Stadium,2023-10-02,68.1,17.9,0.0,0.0,open-meteo-archive
FedExField,2023-10-05,66.6,20.8,0.008,0.0,open-meteo-archive
Acrisure Stadium,2023-10-08,49.5,34.0,0.004,0.0,open-meteo-archive
Empower Field at Mile High,2023-10-08,56.6,15.4,0.0,0.0,open-meteo-archive
Gillette Stadium,2023-10-08,57.5,28.4,0.047,0.0,open-meteo-archive
Hard Rock Stadium,2023-10-08,78.0,21.7,0.949,0.0,open-meteo-archive
Levi's Stadium,2023-10-08,71.5,22.6,0.0,0.0,open-meteo-archive
Lucas Oil Stadium,2023-10-08,49.8,23.0,0.0,0.0,open-meteo-archive
Mercedes-Benz Stadium,2023-10-08,56.4,21.0,0.0,0.0,open-meteo-archive
Tottenham Stadium,2023-10-08,62.1,14.5,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2023-10-12,68.4,37.8,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2023-10-15,52.3,31.5,0.177,0.0,open-meteo-archive
Hard Rock Stadium,2023-10-15,79.3,21.0,0.0,0.0,open-meteo-archive
MetLife Stadium,2023-10-15,53.6,28.9,0.071,0.0,open-meteo-archive
New Era Field,2023-10-15,47.2,26.4,0.094,0.0,open-meteo-archive
Paycor Stadium,2023-10-15,52.4,26.4,0.008,0.0,open-meteo-archive
Raymond James Stadium,2023-10-15,74.2,26.8,0.0,0.0,open-meteo-archive
Soldier Field,2023-10-15,51.6,28.9,0.063,0.0,open-meteo-archive
TIAA Bank Stadium,2023-10-15,68.3,21.3,0.0,0.0,open-meteo-archive
Tottenham Stadium,2023-10-15,44.4,19.5,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2023-10-22,58.4,18.1,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2023-10-22,59.1,21.3,0.0,0.0,open-meteo-archive
Gillette Stadium,2023-10-22,53.0,32.7,0.091,0.0,open-meteo-archive
Lincoln Financial Field,2023-10-22,55.1,32.9,0.0,0.0,open-meteo-archive
Lucas Oil Stadium,2023-10-22,51.5,26.6,0.0,0.0,open-meteo-archive
Lumen Field,2023-10-22,53.1,16.1,0.039,0.0,open-meteo-archive
M&T Bank Stadium,2023-10-22,53.8,31.5,0.291,0.0,open-meteo-archive
MetLife Stadium,2023-10-22,53.9,32.4,0.0,0.0,open-meteo-archive
Raymond James Stadium,2023-10-22,71.6,16.6,0.004,0.0,open-meteo-archive
Soldier Field,2023-10-22,48.2,29.5,0.091,0.0,open-meteo-archive
New Era Field,2023-10-26,62.9,22.1,0.22,0.0,open-meteo-archive
Acrisure Stadium,2023-10-29,55.6,16.8,0.878,0.0,open-meteo-archive
Bank of America Stadium,2023-10-29,68.1,24.2,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2023-10-29,22.9,13.6,0.004,0.9657,open-meteo-archive
FedExField,2023-10-29,68.1,15.4,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2023-10-29,78.8,29.1,0.016,0.0,open-meteo-archive
Lambeau Field,2023-10-29,38.1,14.5,0.008,0.0433,open-meteo-archive
Levi's Stadium,2023-10-29,56.0,18.3,0.0,0.0,open-meteo-archive
Lumen Field,2023-10-29,41.1,15.4,0.0,0.0,open-meteo-archive
MetLife Stadium,2023-10-29,56.9,23.7,1.315,0.0,open-meteo-archive
Nissan Stadium,2023-10-29,72.2,19.0,0.457,0.0,open-meteo-archive
Acrisure Stadium,2023-11-02,36.2,19.0,0.0,0.0,open-meteo-archive
Bank of America Stadium,2023-11-05,54.6,12.5,0.0,0.0,open-meteo-archive
Deutsche Bank Park,2023-11-05,50.4,37.6,0.181,0.0,open-meteo-archive
FirstEnergy Stadium,2023-11-05,49.6,15.0,0.0,0.0,open-meteo-archive
Gillette Stadium,2023-11-05,50.1,16.3,0.0,0.0,open-meteo-archive
Lambeau Field,2023-11-05,40.2,9.6,0.024,0.0,open-meteo-archive
Lincoln Financial Field,2023-11-05,53.8,15.7,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2023-11-05,54.7,17.4,0.0,0.0,open-meteo-archive
Mercedes-Benz Stadium,2023-11-05,56.5,20.6,0.0,0.0,open-meteo-archive
Paycor Stadium,2023-11-05,50.8,12.1,0.0,0.0,open-meteo-archive
MetLife Stadium,2023-11-06,46.7,14.1,0.0,0.0,open-meteo-archive
Soldier Field,2023-11-09,47.5,29.1,0.039,0.0,open-meteo-archive
Acrisure Stadium,2023-11-12,41.4,11.9,0.0,0.0,open-meteo-archive
Deutsche Bank Park,2023-11-12,42.3,13.0,0.0,0.0,open-meteo-archive
Lumen Field,2023-11-12,48.5,33.3,0.047,0.0,open-meteo-archive
M&T Bank Stadium,2023-11-12,44.9,16.3,0.0,0.0,open-meteo-archive
Paycor Stadium,2023-11-12,43.5,17.2,0.0,0.0,open-meteo-archive
Raymond James Stadium,2023-11-12,76.9,21.3,0.031,0.0,open-meteo-archive
TIAA Bank Stadium,2023-11-12,64.3,23.5,0.0,0.0,open-meteo-archive
New Era Field,2023-11-13,41.2,40.5,0.024,0.0,open-meteo-archive
M&T Bank Stadium,2023-11-16,49.7,13.6,0.0,0.0,open-meteo-archive
Bank of America Stadium,2023-11-19,52.9,19.9,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2023-11-19,43.1,13.2,0.012,0.0,open-meteo-archive
FedExField,2023-11-19,46.6,17.7,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2023-11-19,43.8,19.0,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2023-11-19,71.5,17.7,0.004,0.0,open-meteo-archive
Lambeau Field,2023-11-19,38.0,15.2,0.0,0.0,open-meteo-archive
Levi's Stadium,2023-11-19,56.1,21.3,0.205,0.0,open-meteo-archive
New Era Field,2023-11-19,43.2,30.4,0.016,0.0,open-meteo-archive
TIAA Bank Stadium,2023-11-19,65.3,14.3,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2023-11-20,45.5,25.5,0.413,0.0,open-meteo-archive
Lumen Field,2023-11-23,43.8,24.2,0.0,0.0,open-meteo-archive
MetLife Stadium,2023-11-24,43.0,21.5,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2023-11-26,24.4,11.6,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2023-11-26,36.7,13.0,0.079,0.0,open-meteo-archive
MetLife Stadium,2023-11-26,36.5,21.5,0.043,0.0,open-meteo-archive
Nissan Stadium,2023-11-26,47.4,23.7,0.039,0.0,open-meteo-archive
Paycor Stadium,2023-11-26,39.9,24.2,0.13,0.0,open-meteo-archive
Acrisure Stadium,2023-12-03,50.2,33.3,0.89,0.0,open-meteo-archive
FedExField,2023-12-03,53.5,17.7,0.823,0.0,open-meteo-archive
Gillette Stadium,2023-12-03,42.5,22.8,0.461,0.0,open-meteo-archive
Lambeau Field,2023-12-03,32.6,21.5,0.024,0.9657,open-meteo-archive
Lincoln Financial Field,2023-12-03,50.6,16.1,0.685,0.0,open-meteo-archive
MetLife Stadium,2023-12-03,47.0,20.6,0.591,0.0,open-meteo-archive
Nissan Stadium,2023-12-03,53.3,24.2,0.051,0.0,open-meteo-archive
Raymond James Stadium,2023-12-03,74.1,22.6,0.098,0.0,open-meteo-archive
TIAA Bank Stadium,2023-12-04,69.4,19.5,0.004,0.0,open-meteo-archive
Acrisure Stadium,2023-12-07,35.5,24.6,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2023-12-10,42.6,20.4,0.618,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2023-12-10,35.7,26.2,0.0,0.0,open-meteo-archive
Levi's Stadium,2023-12-10,47.9,11.6,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2023-12-10,52.7,17.4,1.205,0.0,open-meteo-archive
MetLife Stadium,2023-12-10,51.2,26.6,0.752,0.0,open-meteo-archive
Paycor Stadium,2023-12-10,41.4,24.8,0.209,0.0,open-meteo-archive
Soldier Field,2023-12-10,35.4,26.2,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2023-12-11,69.0,22.1,0.024,0.0,open-meteo-archive
MetLife Stadium,2023-12-11,46.2,38.5,1.492,0.0,open-meteo-archive
Paycor Stadium,2023-12-16,41.3,15.2,0.0,0.0,open-meteo-archive
Bank of America Stadium,2023-12-17,46.7,33.6,1.85,0.0,open-meteo-archive
FirstEnergy Stadium,2023-12-17,45.3,28.4,0.327,0.0,open-meteo-archive
Gillette Stadium,2023-12-17,41.0,19.7,0.067,0.0,open-meteo-archive
Hard Rock Stadium,2023-12-17,72.9,40.5,1.213,0.0,open-meteo-archive
Lambeau Field,2023-12-17,39.6,21.7,0.024,0.0,open-meteo-archive
New Era Field,2023-12-17,46.6,37.1,0.083,0.0,open-meteo-archive
Nissan Stadium,2023-12-17,50.0,21.7,0.362,0.0,open-meteo-archive
State Farm Stadium,2023-12-17,59.4,13.9,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2023-12-17,64.7,46.8,2.307,0.0,open-meteo-archive
Lumen Field,2023-12-18,41.4,13.4,0.039,0.0,open-meteo-archive
Acrisure Stadium,2023-12-23,39.9,13.9,0.035,0.0,open-meteo-archive
Bank of America Stadium,2023-12-24,49.0,10.5,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2023-12-24,32.9,20.4,0.106,0.2602,open-meteo-archive
Hard Rock Stadium,2023-12-24,70.0,26.6,0.047,0.0,open-meteo-archive
MetLife Stadium,2023-12-24,39.1,11.9,0.024,0.0,open-meteo-archive
Nissan Stadium,2023-12-24,54.9,19.0,0.004,0.0,open-meteo-archive
Raymond James Stadium,2023-12-24,64.5,28.4,0.0,0.0,open-meteo-archive
Soldier Field,2023-12-24,48.0,19.5,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2023-12-25,42.9,27.1,1.516,0.0,open-meteo-archive
Levi's Stadium,2023-12-25,48.6,10.7,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2023-12-25,44.3,12.8,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2023-12-28,42.0,10.3,0.28,0.0,open-meteo-archive
Empower Field at Mile High,2023-12-31,29.1,9.6,0.0,0.0,open-meteo-archive
FedExField,2023-12-31,41.5,21.3,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2023-12-31,33.9,23.3,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2023-12-31,40.4,20.4,0.0,0.0,open-meteo-archive
Lumen Field,2023-12-31,45.3,18.8,0.004,0.0,open-meteo-archive
M&T Bank Stadium,2023-12-31,40.9,20.1,0.012,0.0,open-meteo-archive
MetLife Stadium,2023-12-31,37.8,18.6,0.0,0.0,open-meteo-archive
New Era Field,2023-12-31,34.1,18.1,0.02,0.0327,open-meteo-archive
Raymond James Stadium,2023-12-31,54.2,12.5,0.0,0.0,open-meteo-archive
Soldier Field,2023-12-31,32.0,18.3,0.0,0.1626,open-meteo-archive
TIAA Bank Stadium,2023-12-31,45.5,13.6,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2024-01-06,32.1,34.7,0.626,0.0543,open-meteo-archive
Bank of America Stadium,2024-01-07,44.4,29.8,0.0,0.0,open-meteo-archive
FedExField,2024-01-07,38.5,36.7,0.028,0.0,open-meteo-archive
Gillette Stadium,2024-01-07,32.2,33.8,0.169,2.7669,open-meteo-archive
Hard Rock Stadium,2024-01-07,69.3,24.4,0.591,0.0,open-meteo-archive
Lambeau Field,2024-01-07,30.6,20.4,0.0,0.0327,open-meteo-archive
Levi's Stadium,2024-01-07,45.0,21.0,0.012,0.0,open-meteo-archive
MetLife Stadium,2024-01-07,35.2,34.4,0.323,1.0634,open-meteo-archive
Nissan Stadium,2024-01-07,41.7,22.8,0.055,0.0,open-meteo-archive
Paycor Stadium,2024-01-07,35.4,31.1,0.075,0.0217,open-meteo-archive
GEHA Field at Arrowhead Stadium,2024-01-13,5.3,34.7,0.0,0.152,open-meteo-archive
New Era Field,2024-01-15,16.0,41.6,0.0,0.6512,open-meteo-archive
Raymond James Stadium,2024-01-15,61.1,17.0,0.035,0.0,open-meteo-archive
Levi's Stadium,2024-01-20,56.8,22.4,0.295,0.0,open-meteo-archive
M&T Bank Stadium,2024-01-20,20.6,33.6,0.0,0.0,open-meteo-archive
New Era Field,2024-01-21,19.2,29.5,0.0,0.0217,open-meteo-archive
Levi's Stadium,2024-01-28,56.5,10.5,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2024-01-28,43.1,29.5,1.15,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2024-09-05,75.1,12.3,0.008,0.0,open-meteo-archive
Arena Corinthians,2024-09-06,62.9,24.8,0.02,0.0,open-meteo-archive
FirstEnergy Stadium,2024-09-08,59.0,22.1,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2024-09-08,82.9,20.8,0.02,0.0,open-meteo-archive
Lumen Field,2024-09-08,67.7,21.3,0.0,0.0,open-meteo-archive
MetLife Stadium,2024-09-08,61.4,25.1,0.004,0.0,open-meteo-archive
New Era Field,2024-09-08,54.6,40.7,0.106,0.0,open-meteo-archive
Paycor Stadium,2024-09-08,58.7,19.5,0.0,0.0,open-meteo-archive
Raymond James Stadium,2024-09-08,79.5,16.3,0.067,0.0,open-meteo-archive
Soldier Field,2024-09-08,59.2,19.5,0.0,0.0,open-meteo-archive
Levi's Stadium,2024-09-09,66.3,26.6,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2024-09-12,81.2,15.2,0.701,0.0,open-meteo-archive
Bank of America Stadium,2024-09-15,73.0,31.8,0.028,0.0,open-meteo-archive
Empower Field at Mile High,2024-09-15,69.6,28.2,0.0,0.0,open-meteo-archive
FedExField,2024-09-15,70.0,23.7,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2024-09-15,75.7,17.4,0.028,0.0,open-meteo-archive
Gillette Stadium,2024-09-15,66.3,16.3,0.0,0.0,open-meteo-archive
Lambeau Field,2024-09-15,72.7,19.7,0.004,0.0,open-meteo-archive
M&T Bank Stadium,2024-09-15,70.5,21.9,0.0,0.0,open-meteo-archive
Nissan Stadium,2024-09-15,73.7,20.4,0.398,0.0,open-meteo-archive
TIAA Bank Stadium,2024-09-15,77.6,27.3,0.067,0.0,open-meteo-archive
Lincoln Financial Field,2024-09-16,67.4,21.0,0.0,0.0,open-meteo-archive
MetLife Stadium,2024-09-19,71.8,19.7,0.0,0.0,open-meteo-archive
Acrisure Stadium,2024-09-22,69.8,11.9,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2024-09-22,72.8,11.0,0.0,0.0,open-meteo-archive
Lumen Field,2024-09-22,58.2,15.7,0.0,0.0,open-meteo-archive
Nissan Stadium,2024-09-22,74.9,20.6,0.378,0.0,open-meteo-archive
Raymond James Stadium,2024-09-22,79.3,20.4,0.0,0.0,open-meteo-archive
New Era Field,2024-09-23,69.2,22.6,0.303,0.0,open-meteo-archive
Paycor Stadium,2024-09-23,73.6,19.2,0.228,0.0,open-meteo-archive
MetLife Stadium,2024-09-26,67.0,23.0,0.173,0.0,open-meteo-archive
Bank of America Stadium,2024-09-29,73.0,18.6,0.008,0.0,open-meteo-archive
Lambeau Field,2024-09-29,63.7,26.2,0.0,0.0,open-meteo-archive
Levi's Stadium,2024-09-29,63.3,22.8,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2024-09-29,66.9,21.9,0.276,0.0,open-meteo-archive
MetLife Stadium,2024-09-29,62.8,20.8,0.138,0.0,open-meteo-archive
Raymond James Stadium,2024-09-29,82.2,20.1,0.047,0.0,open-meteo-archive
Soldier Field,2024-09-29,65.6,27.7,0.004,0.0,open-meteo-archive
Hard Rock Stadium,2024-09-30,81.1,18.1,0.067,0.0,open-meteo-archive
Acrisure Stadium,2024-10-06,62.5,24.6,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2024-10-06,61.5,26.4,0.0,0.0,open-meteo-archive
FedExField,2024-10-06,63.5,15.0,0.0,0.0,open-meteo-archive
Gillette Stadium,2024-10-06,55.7,16.8,0.0,0.0,open-meteo-archive
Levi's Stadium,2024-10-06,85.9,20.1,0.0,0.0,open-meteo-archive
Lumen Field,2024-10-06,54.5,18.1,0.0,0.0,open-meteo-archive
Paycor Stadium,2024-10-06,70.4,24.6,0.0,0.0,open-meteo-archive
Soldier Field,2024-10-06,70.5,30.9,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2024-10-06,74.6,22.6,0.906,0.0,open-meteo-archive
Tottenham Stadium,2024-10-06,56.1,28.4,0.106,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2024-10-07,60.7,14.3,0.0,0.0,open-meteo-archive
Lumen Field,2024-10-10,54.1,21.9,0.0,0.0,open-meteo-archive
Bank of America Stadium,2024-10-13,62.3,18.6,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2024-10-13,58.2,17.9,0.0,0.0,open-meteo-archive
Gillette Stadium,2024-10-13,48.4,18.6,0.047,0.0,open-meteo-archive
Lambeau Field,2024-10-13,50.3,22.8,0.252,0.0,open-meteo-archive
Lincoln Financial Field,2024-10-13,63.9,27.1,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2024-10-13,64.5,27.1,0.0,0.0,open-meteo-archive
MetLife Stadium,2024-10-13,60.2,19.5,0.0,0.0,open-meteo-archive
Nissan Stadium,2024-10-13,70.8,20.6,0.031,0.0,open-meteo-archive
Tottenham Stadium,2024-10-13,46.2,26.4,0.0,0.0,open-meteo-archive
MetLife Stadium,2024-10-14,57.8,41.6,0.004,0.0,open-meteo-archive
Acrisure Stadium,2024-10-20,53.3,12.3,0.0,0.0,open-meteo-archive
FedExField,2024-10-20,55.4,13.2,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2024-10-20,58.0,13.6,0.0,0.0,open-meteo-archive
Lambeau Field,2024-10-20,63.9,25.3,0.0,0.0,open-meteo-archive
Levi's Stadium,2024-10-20,69.9,19.9,0.0,0.0,open-meteo-archive
MetLife Stadium,2024-10-20,56.9,11.4,0.0,0.0,open-meteo-archive
New Era Field,2024-10-20,55.5,25.9,0.0,0.0,open-meteo-archive
Wembley Stadium,2024-10-20,56.6,38.5,0.185,0.0,open-meteo-archive
Raymond James Stadium,2024-10-21,73.2,23.5,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2024-10-27,53.6,14.3,0.0,0.0,open-meteo-archive
FedExField,2024-10-27,50.9,17.9,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2024-10-27,48.9,14.5,0.0,0.0,open-meteo-archive
Gillette Stadium,2024-10-27,45.6,23.0,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2024-10-27,75.2,24.8,0.0,0.0,open-meteo-archive
Levi's Stadium,2024-10-27,65.5,21.0,0.0,0.0,open-meteo-archive
Lumen Field,2024-10-27,54.5,33.1,1.028,0.0,open-meteo-archive
Paycor Stadium,2024-10-27,49.4,13.4,0.0,0.0,open-meteo-archive
Raymond James Stadium,2024-10-27,72.7,14.8,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2024-10-27,71.6,11.6,0.004,0.0,open-meteo-archive
Acrisure Stadium,2024-10-28,46.5,13.6,0.0,0.0,open-meteo-archive
MetLife Stadium,2024-10-31,66.6,22.8,0.0,0.0,open-meteo-archive
Bank of America Stadium,2024-11-03,59.0,18.1,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2024-11-03,50.0,16.1,0.0,0.0,open-meteo-archive
Lambeau Field,2024-11-03,47.4,27.7,0.378,0.0,open-meteo-archive
Lincoln Financial Field,2024-11-03,48.3,15.2,0.0,0.0,open-meteo-archive
Lumen Field,2024-11-03,48.9,21.7,0.031,0.0,open-meteo-archive
M&T Bank Stadium,2024-11-03,48.6,13.9,0.0,0.0,open-meteo-archive
MetLife Stadium,2024-11-03,46.5,18.1,0.0,0.0,open-meteo-archive
New Era Field,2024-11-03,43.7,15.7,0.0,0.0,open-meteo-archive
Nissan Stadium,2024-11-03,63.4,28.0,0.0,0.0,open-meteo-archive
Paycor Stadium,2024-11-03,53.1,16.8,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2024-11-04,64.4,29.5,0.74,0.0,open-meteo-archive
M&T Bank Stadium,2024-11-07,69.4,21.3,0.0,0.0,open-meteo-archive
Allianz Arena,2024-11-10,36.9,6.3,0.0,0.0,open-meteo-archive
FedExField,2024-11-10,48.4,20.1,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2024-11-10,53.6,23.9,0.0,0.0,open-meteo-archive
Raymond James Stadium,2024-11-10,76.8,23.9,0.008,0.0,open-meteo-archive
Soldier Field,2024-11-10,54.0,36.0,0.161,0.0,open-meteo-archive
TIAA Bank Stadium,2024-11-10,74.1,25.1,0.11,0.0,open-meteo-archive
Lincoln Financial Field,2024-11-14,41.4,17.4,0.0,0.0,open-meteo-archive
Acrisure Stadium,2024-11-17,44.1,13.6,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2024-11-17,36.4,13.4,0.0,0.011,open-meteo-archive
Gillette Stadium,2024-11-17,49.0,22.6,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2024-11-17,74.2,23.7,0.0,0.0,open-meteo-archive
Levi's Stadium,2024-11-17,48.4,12.8,0.0,0.0,open-meteo-archive
MetLife Stadium,2024-11-17,52.6,21.5,0.0,0.0,open-meteo-archive
New Era Field,2024-11-17,45.7,16.1,0.0,0.0,open-meteo-archive
Nissan Stadium,2024-11-17,54.4,16.3,0.0,0.0,open-meteo-archive
Soldier Field,2024-11-17,50.2,22.1,0.047,0.0,open-meteo-archive
FirstEnergy Stadium,2024-11-21,39.1,34.4,0.059,0.1303,open-meteo-archive
Bank of America Stadium,2024-11-24,46.7,11.0,0.0,0.0,open-meteo-archive
FedExField,2024-11-24,49.0,23.5,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2024-11-24,62.1,14.5,0.0,0.0,open-meteo-archive
Lambeau Field,2024-11-24,37.9,23.5,0.0,0.0,open-meteo-archive
Lumen Field,2024-11-24,43.9,16.3,0.228,0.0,open-meteo-archive
MetLife Stadium,2024-11-24,46.2,35.3,0.0,0.0,open-meteo-archive
Soldier Field,2024-11-24,40.3,15.9,0.0,0.0,open-meteo-archive
Lambeau Field,2024-11-28,28.2,25.7,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2024-11-29,29.2,13.9,0.0,0.0,open-meteo-archive
Bank of America Stadium,2024-12-01,37.2,16.1,0.0,0.0,open-meteo-archive
FedExField,2024-12-01,31.9,21.7,0.0,0.0,open-meteo-archive
Gillette Stadium,2024-12-01,30.2,22.4,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2024-12-01,31.3,22.4,0.0,0.0,open-meteo-archive
MetLife Stadium,2024-12-01,30.5,28.4,0.0,0.0,open-meteo-archive
New Era Field,2024-12-01,27.1,31.3,0.0,2.1591,open-meteo-archive
Paycor Stadium,2024-12-01,28.7,21.3,0.0,0.0433,open-meteo-archive
TIAA Bank Stadium,2024-12-01,47.7,16.1,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2024-12-02,30.3,9.8,0.0,0.0,open-meteo-archive
Acrisure Stadium,2024-12-08,40.9,32.0,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2024-12-08,47.2,29.8,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2024-12-08,68.0,19.9,0.0,0.0,open-meteo-archive
Levi's Stadium,2024-12-08,53.5,13.9,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2024-12-08,42.3,34.4,0.0,0.0,open-meteo-archive
MetLife Stadium,2024-12-08,40.8,29.1,0.0,0.011,open-meteo-archive
Nissan Stadium,2024-12-08,44.2,20.4,0.012,0.0,open-meteo-archive
Raymond James Stadium,2024-12-08,58.1,13.0,0.0,0.0,open-meteo-archive
Levi's Stadium,2024-12-12,52.6,25.1,0.728,0.0,open-meteo-archive
Bank of America Stadium,2024-12-15,40.8,21.0,0.039,0.0,open-meteo-archive
Empower Field at Mile High,2024-12-15,36.9,13.2,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2024-12-15,36.7,28.4,0.441,0.0,open-meteo-archive
Lincoln Financial Field,2024-12-15,30.6,11.6,0.0,0.0,open-meteo-archive
Lumen Field,2024-12-15,43.2,34.7,0.008,0.0,open-meteo-archive
MetLife Stadium,2024-12-15,29.0,14.5,0.0,0.0,open-meteo-archive
Nissan Stadium,2024-12-15,52.6,34.9,0.465,0.0,open-meteo-archive
TIAA Bank Stadium,2024-12-15,64.2,22.8,0.024,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2024-12-21,25.8,10.7,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2024-12-21,33.0,34.7,0.008,0.011,open-meteo-archive
Bank of America Stadium,2024-12-22,31.6,19.2,0.0,0.0,open-meteo-archive
FedExField,2024-12-22,26.8,21.5,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2024-12-22,60.9,14.8,0.0,0.0,open-meteo-archive
Lumen Field,2024-12-22,45.5,27.1,0.28,0.0,open-meteo-archive
